Timeline,filters,Count
"2017-03-13 07:00",CMSProd,"3,178"
"2017-03-13 07:00",CMSPool,"2,837"
"2017-03-13 07:00",PhEDEx,291
"2017-03-13 07:00",LCGAdmin,326
"2017-03-13 07:00",LIGO,8
"2017-03-13 07:00",Others,0
"2017-03-13 08:00",CMSProd,"4,356"
"2017-03-13 08:00",CMSPool,"3,321"
"2017-03-13 08:00",PhEDEx,701
"2017-03-13 08:00",LCGAdmin,341
"2017-03-13 08:00",LIGO,8
"2017-03-13 08:00",Others,0
"2017-03-13 09:00",CMSProd,"5,918"
"2017-03-13 09:00",CMSPool,"6,682"
"2017-03-13 09:00",PhEDEx,397
"2017-03-13 09:00",LCGAdmin,325
"2017-03-13 09:00",LIGO,8
"2017-03-13 09:00",Others,0
"2017-03-13 10:00",CMSProd,"5,186"
"2017-03-13 10:00",CMSPool,"2,713"
"2017-03-13 10:00",PhEDEx,216
"2017-03-13 10:00",LCGAdmin,329
"2017-03-13 10:00",LIGO,0
"2017-03-13 10:00",Others,0
"2017-03-13 11:00",CMSProd,"11,792"
"2017-03-13 11:00",CMSPool,"2,319"
"2017-03-13 11:00",PhEDEx,"1,093"
"2017-03-13 11:00",LCGAdmin,344
"2017-03-13 11:00",LIGO,12
"2017-03-13 11:00",Others,0
"2017-03-13 12:00",CMSProd,"5,867"
"2017-03-13 12:00",CMSPool,"7,216"
"2017-03-13 12:00",PhEDEx,350
"2017-03-13 12:00",LCGAdmin,330
"2017-03-13 12:00",LIGO,4
"2017-03-13 12:00",Others,0
"2017-03-13 13:00",CMSProd,"4,434"
"2017-03-13 13:00",CMSPool,"7,489"
"2017-03-13 13:00",PhEDEx,242
"2017-03-13 13:00",LCGAdmin,293
"2017-03-13 13:00",LIGO,8
"2017-03-13 13:00",Others,0
"2017-03-13 14:00",CMSProd,"4,206"
"2017-03-13 14:00",CMSPool,"5,224"
"2017-03-13 14:00",PhEDEx,349
"2017-03-13 14:00",LCGAdmin,328
"2017-03-13 14:00",LIGO,4
"2017-03-13 14:00",Others,0
"2017-03-13 15:00",CMSProd,"5,164"
"2017-03-13 15:00",CMSPool,"7,689"
"2017-03-13 15:00",PhEDEx,420
"2017-03-13 15:00",LCGAdmin,343
"2017-03-13 15:00",LIGO,4
"2017-03-13 15:00",Others,0
"2017-03-13 16:00",CMSProd,"6,094"
"2017-03-13 16:00",CMSPool,"5,532"
"2017-03-13 16:00",PhEDEx,328
"2017-03-13 16:00",LCGAdmin,320
"2017-03-13 16:00",LIGO,16
"2017-03-13 16:00",Others,0
"2017-03-13 17:00",CMSProd,"6,174"
"2017-03-13 17:00",CMSPool,"7,190"
"2017-03-13 17:00",PhEDEx,306
"2017-03-13 17:00",LCGAdmin,329
"2017-03-13 17:00",LIGO,8
