Timeline,filters,Count
2017-03-13 13:00,LCGAdmin,293
2017-03-13 13:00,LIGO,8
2017-03-13 13:00,Others,0
2017-03-13 14:00,CMSProd,4206
2017-03-13 14:00,CMSPool,5224
2017-03-13 14:00,PhEDEx,349
2017-03-13 14:00,LCGAdmin,328
2017-03-13 14:00,LIGO,4
2017-03-13 14:00,Others,0
2017-03-13 15:00,CMSProd,5164
2017-03-13 15:00,CMSPool,7689
2017-03-13 15:00,PhEDEx,420
2017-03-13 15:00,LCGAdmin,343
2017-03-13 15:00,LIGO,4
2017-03-13 15:00,Others,0
2017-03-13 16:00,CMSProd,6094
2017-03-13 16:00,CMSPool,5532
2017-03-13 16:00,PhEDEx,328
2017-03-13 16:00,LCGAdmin,320
2017-03-13 16:00,LIGO,16
2017-03-13 16:00,Others,0
2017-03-13 17:00,CMSProd,6174
2017-03-13 17:00,CMSPool,7190
2017-03-13 17:00,PhEDEx,306
2017-03-13 17:00,LCGAdmin,329
2017-03-13 17:00,LIGO,8
2017-03-13 17:00,Others,0
2017-03-13 18:00,CMSProd,5447
2017-03-13 18:00,CMSPool,5210
2017-03-13 18:00,PhEDEx,528
2017-03-13 18:00,LCGAdmin,318
2017-03-13 18:00,LIGO,4
2017-03-13 18:00,Others,0
2017-03-13 19:00,CMSProd,5320
2017-03-13 19:00,CMSPool,6346
2017-03-13 19:00,PhEDEx,401
2017-03-13 19:00,LCGAdmin,333
2017-03-13 19:00,LIGO,12
2017-03-13 19:00,Others,0
2017-03-13 20:00,CMSProd,6950
2017-03-13 20:00,CMSPool,5989
2017-03-13 20:00,PhEDEx,484
2017-03-13 20:00,LCGAdmin,317
2017-03-13 20:00,LIGO,0
2017-03-13 20:00,Others,0
2017-03-13 21:00,CMSProd,13177
2017-03-13 21:00,CMSPool,6126
2017-03-13 21:00,PhEDEx,398
2017-03-13 21:00,LCGAdmin,313
2017-03-13 21:00,LIGO,8
2017-03-13 21:00,Others,0
2017-03-13 22:00,CMSProd,8020
2017-03-13 22:00,CMSPool,4737
2017-03-13 22:00,PhEDEx,432
2017-03-13 22:00,LCGAdmin,310
2017-03-13 22:00,LIGO,8
2017-03-13 22:00,Others,0
2017-03-13 23:00,CMSProd,4776
2017-03-13 23:00,CMSPool,3194
2017-03-13 23:00,PhEDEx,1244
2017-03-13 23:00,LCGAdmin,302
2017-03-13 23:00,LIGO,8
2017-03-13 23:00,Others,0
2017-03-14 00:00,CMSProd,5549
2017-03-14 00:00,CMSPool,3691
2017-03-14 00:00,PhEDEx,507
2017-03-14 00:00,LCGAdmin,345
2017-03-14 00:00,LIGO,8
2017-03-14 00:00,Others,0
2017-03-14 01:00,CMSProd,4896
2017-03-14 01:00,CMSPool,2805
2017-03-14 01:00,PhEDEx,279
2017-03-14 01:00,LCGAdmin,310
2017-03-14 01:00,LIGO,8
2017-03-14 01:00,Others,0
2017-03-14 02:00,CMSProd,4893
2017-03-14 02:00,CMSPool,2938
2017-03-14 02:00,PhEDEx,137
2017-03-14 02:00,LCGAdmin,325
2017-03-14 02:00,LIGO,8
2017-03-14 02:00,Others,0
2017-03-14 03:00,CMSProd,4881
2017-03-14 03:00,CMSPool,2885
2017-03-14 03:00,PhEDEx,340
2017-03-14 03:00,LCGAdmin,284
2017-03-14 03:00,LIGO,4
2017-03-14 03:00,Others,0
2017-03-14 04:00,CMSProd,4967
2017-03-14 04:00,CMSPool,3078
2017-03-14 04:00,PhEDEx,726
2017-03-14 04:00,LCGAdmin,296
2017-03-14 04:00,LIGO,4
2017-03-14 04:00,Others,0
2017-03-14 05:00,CMSProd,6381
2017-03-14 05:00,CMSPool,4656
2017-03-14 05:00,PhEDEx,1127
2017-03-14 05:00,LCGAdmin,290
2017-03-14 05:00,LIGO,8
2017-03-14 05:00,Others,0
2017-03-14 06:00,CMSProd,7935
2017-03-14 06:00,CMSPool,5919
2017-03-14 06:00,PhEDEx,684
2017-03-14 06:00,LCGAdmin,331
2017-03-14 06:00,LIGO,8
2017-03-14 06:00,Others,0
2017-03-14 07:00,CMSProd,7691
2017-03-14 07:00,CMSPool,9514
2017-03-14 07:00,PhEDEx,581
2017-03-14 07:00,LCGAdmin,305
2017-03-14 07:00,LIGO,8
2017-03-14 07:00,Others,0
2017-03-14 08:00,CMSProd,8148
2017-03-14 08:00,CMSPool,6251
2017-03-14 08:00,PhEDEx,2492
2017-03-14 08:00,LCGAdmin,328
2017-03-14 08:00,LIGO,8
2017-03-14 08:00,Others,0
2017-03-14 09:00,CMSProd,9440
2017-03-14 09:00,CMSPool,7522
2017-03-14 09:00,PhEDEx,6310
2017-03-14 09:00,LCGAdmin,327
2017-03-14 09:00,LIGO,8
2017-03-14 09:00,Others,0
2017-03-14 10:00,CMSProd,10147
2017-03-14 10:00,CMSPool,8994
2017-03-14 10:00,PhEDEx,5314
2017-03-14 10:00,LCGAdmin,309
2017-03-14 10:00,LIGO,8
2017-03-14 10:00,Others,0
2017-03-14 11:00,CMSProd,7535
2017-03-14 11:00,CMSPool,19860
2017-03-14 11:00,PhEDEx,6133
2017-03-14 11:00,LCGAdmin,326
2017-03-14 11:00,LIGO,0
